,Source User id,Follower id
6252,475567,"[109520949079004284, 109543399031319888, 110284256838102170, 109824850164971498, 109326527575282503, 110290584187882541, 109909782922629175, 109627700150974330, 110276661458274582, 109490679433560720, 110068921406778348, 110061820625502836, 109628427445508336, 110266470373379975, 109942543815365630, 110261804708151453, 109334117339133222, 109308550305406313, 110251022553495524, 110248292214624362, 109840438341062109, 109524841448390150, 110070803284871424, 110216763427530925, 109241747522482555, 109336851987706232, 110227997946086410, 110221254799657700, 110136854990411670, 110225230267881813, 110230623383625335, 302867, 109564896927210875, 110214662896585629, 109547586769963287, 109354564202240035, 109311815634069832, 110223062530386359, 110225228077037909, 109298579501648776]"
6363,109251428687235255,"[109366127502156558, 109327661656375280, 110079392469179881, 109377049492472558, 110235159320527186, 109330704582548664, 109396734940008369, 109246494255809972, 108199823374218982, 108950626336567355, 1102601, 1048630, 108192526335852478, 109479478473162751, 108226104143662471, 548077, 109394547533172373, 108233265672585462, 109320973843812690, 496030, 107632463889661321, 1197713, 108194416875492257, 551784, 1069259, 108197371239903560, 109281253844526970, 108160195019133070, 109293112284889930, 109358766421839701, 109365196184434126, 109371274655238593, 109365222208343765, 109297192065446018, 109320217893905018, 109290348304739692]"
2750,109819256972922140,"[109336851987706232, 109314377565760811, 109372724542649555, 109374444493302741, 409474, 109389075172332783, 109236650318473998, 109423757062006397, 109288169770066453, 109301967252936230, 109717988988557417, 279056, 109536582860496080, 109373853838761751, 109603953084536038, 109419624485175030, 109586909191490846, 109281425511749503, 109245820275948201, 459047, 558802, 716119, 109309715056032436, 109243458234695495, 7644, 109254463463687074, 109237638243937525, 109248088139607725, 109297174523203265, 109292791986066871]"
5272,109956450497135672,"[110272504592069717, 107770278469497760, 110247763830671684]"
3999,487612,"[109400274048348569, 109699790835414175, 109330704582548664, 109468575653840322, 109729025868300906, 893119, 109756048896676235, 108203038597701764, 1013458, 109961003178319455, 109701589400811804, 434035, 109692169014894656, 109364552260932875, 109817702563139356, 109891840218068165, 109688418327208100, 109845965123745603, 109745674916892607, 109746069267729670, 6961, 109732207755698598, 109746043752251871, 109378224187710803, 109800959256315370, 109762630708655192, 109443397176251182, 109745437120432758, 109756530689913187, 109747080811217155, 109537550248408355, 109276590907627877, 109432199085898880, 109774676985409217, 109455635211666160, 109766413026715090, 109759960502248527, 109338162415005309, 453496, 382077]"
6033,255208,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
9930,110249082037999006,"[110309539882168061, 110310679903080493, 109247656734677617, 110299762228267223, 108595032833776850, 109315923082022994, 109305601953205492, 109870491164948483, 110306460143784028, 110290894712539898, 110304826903613618, 110036102793925920, 110303836103075705, 109833229206285915, 109318955498643128, 120655, 110301407320439129, 110300995745998922, 839500, 108193290755440948, 110299747637352593, 357140, 109303680758781473, 109407743083902057, 109916450319714911, 108243222540633833, 109748190623114136, 109335027959353445, 890010, 109524505780512457, 109355245423470991, 109528069737446737, 110295159831907375, 109123076150090658, 107935787554316632, 109318612129288588, 110294265023834797, 110293847464363052, 110290584187882541, 109292236172055483]"
8158,110111958056697630,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
9896,109520768124043522,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
9485,480157,"[109258649767512646, 110287904450542637, 109286443752190829, 109305337136954264, 109285831645362742, 109258708569632490, 109536644914999246, 110151158994631303, 109531176556795932, 109268515097851124, 109253091211790903, 109638835404109013, 110045212553433126, 110031924689323814, 110023216189400988, 110010405759155314, 109890701683462186, 109307868522267120, 135824, 109432951826927521, 109898639359416247, 109252016827034116, 109551827411222064, 109246239025132924, 109609666849821269, 109931099698439304, 109608134962459190, 109250125363240077, 109891299402826891, 109886735728189477, 109675153185869526, 109636125918848842, 109556532029545905, 109542631801019248, 109591500650213425, 109534437230269123, 109718087708274541, 109540851240422512, 109541160067478823, 109365665484779958]"
