,Source User id,Following id
6252,475567,"[109423163209849522, 109295102825352805, 108161012064284636, 110306619769926403, 109860655675869429, 985396, 109919033441634928, 41635, 109591828114912760, 110299747637352593, 1100919, 109338766169609142, 110283481421531909, 109383202812252410, 110279577422010508, 109307005540531785, 109334670287278519, 109540787687940718, 109854423249944679, 109363987051123799, 109328343580531135, 109302740940470198, 110274394988811909, 109955591759062925, 110266162634306901, 110272644164233510, 109976197075332554, 109270141260161487, 109288286274649955, 109332760595419533, 109278450293866322, 110261825314786900, 109527459504798854, 109524557188083541, 109526150395207203, 109322667641086980, 109530058538993908, 109332173854504671, 109257554662308867, 308376]"
4684,110103286910286347,"[254743, 110135227026039196, 41635, 110271482630407979, 109851922410758138, 511090, 109257128551379903, 109495341277901763, 1123780, 18249, 109257646014387336, 982209, 109257666865648184, 109366854785058167, 109968565309900843, 109508695544667259, 110189436968959826, 110156474743664338, 108194486165353396, 405755, 108198957325682787, 110272644164233510, 107718256259348129, 488701, 109247948719150301, 109289732162285804, 108198421484475805, 109513876249261875, 109945325596100056, 110086510250667970, 109252684305276081, 109374658093257282, 109253894858988886, 109914899851389317, 109361023069729587, 517450, 109356354047801580, 109243139631965273, 110172254262612151, 109515021050078439]"
1731,109362241251053845,"[110189489880231650, 109893807417152724, 109954913364124906, 110188194979478512, 110227440173098389, 1187028, 1269606, 15023, 233670, 236983, 110279577422010508, 109307828225826332, 51903, 109362801246870174, 109299436949940354, 109244300415875978, 110283055754513174, 109257483808313190, 109382566870378237, 110000477131104596, 110227411956499425, 109368402300749966, 109367233131939043, 109368913769833102, 109293200456032412, 109258656608370660, 109383884993542659, 109362820067232699, 109293638497144815, 109343806066121764, 109361263628420986, 109288078745273072, 109295102825352805, 109327265001657740, 108221322111838061, 109329924938872877, 109372039448861599, 109304919314062227, 109307192308058151, 109287430779504506]"
4521,38103,"[109245493701529453, 110297051239289897, 110273215530512473, 131417, 511090, 109135261974526556, 109248612385112591, 109837475759125394, 110255867287333108, 109507426698700178, 109860078815971357, 109865794470416218, 41635, 23358, 110186365892764871, 109245920066960317, 110150165297293839, 109196062781967761, 109520686147162383, 14915, 108197206903840287, 109494470788186249, 109362200103102650, 109258125715542674, 109328074638035706, 109237664891017614, 109259805088058238, 109358544043904637, 110271433081762575, 450829, 236215, 18076, 808827, 110266162634306901, 110272644164233510, 109509814965500984, 110227411956499425, 110265950890753538, 498442, 109968088379155829]"
6340,109835529188868068,"[237900, 322617, 109855641686800461, 110190322875129234, 109359963463762937, 110306593782514771, 110029133030785528, 214444, 109244562005029602, 108197092546215626, 109246530404595912, 9103, 109837508570525217, 109892526868912636, 387719, 36451, 110270452762857296, 109083419198296192, 109292312451389263, 109251842210716034, 26489, 109295809348219596, 109908793033516664, 108196834675898876, 109518255744836376, 110028452522665372, 109253388696592327, 218168, 109244155732005259, 26524, 110044442941769797, 109507092658224472, 108227012523105737, 108073572058393901, 110300659815868637, 418255, 108772405993602191, 109246367388795177, 109356842658047913, 28267]"
576,110198069784180143,"[41635, 109241950695530231, 110141172424536208, 109507766952346103, 108233402803236837, 504993, 109257050230682455, 109502260753916593, 110025075238633114, 691094, 414521, 314562, 283242, 425618, 407788, 109370666865262646, 109259296548994894, 233285, 109219771731582731, 108421024857037661, 236080, 109519628491556158, 512078, 412906, 470271, 109246358402616382]"
5202,109258494895990438,"[780248, 777706, 623648, 109326926763535765, 109354029529328738, 110118205491340944, 110297860211560728, 109496287057422088, 109303643948405269, 110191305952044634, 109258162267170975, 109513876249261875, 108170313942561366, 110287685451604853, 108646309657620090, 269581, 109366105847037101, 109359093743492173, 108193306415412751, 109244566360072139, 109245554436089029, 109366262924457354, 109548090007104910, 108284283016462959, 109313882285440041, 109318128778429626, 109292929514346332, 109254666140075023, 108317122958793478, 109499796936566862, 109246553984158620, 109354275819287451, 1185988, 109930924888863623, 109250215115092977, 479686, 109509285860709979, 110106092167690437, 109252986941126177, 110297120659556710]"
6363,109251428687235255,"[559242, 109246783472356848, 453724, 41635, 453394, 109259317667286444, 109360650271368466, 109327188216871184, 239994]"
439,298708,"[233537, 109303507992208084, 41635, 110020964923155487, 109248079834869691, 14487, 10098, 109854279796893712, 15487, 109248440907909022, 109251452203119297, 109257619631685691, 109257906803912470, 109501975326702379, 109383834708129347, 108194890308088987, 109506018981207807, 108227380844170845, 2400, 208169, 109253288464043190, 39744, 109246024692851423, 109290863468520688, 109468330179390374, 35703]"
2750,109819256972922140,"[109251809036751357, 110272163293403891, 109246566022744808, 109826482577390996, 109507790005818552, 109521133253432690, 265602, 109367105875151014, 109514605316283460, 237278, 109241640066823957, 496030, 268978, 109258067837664642, 238250, 109259733959194695, 109257855384535435, 109151022235776665, 108242556686969160, 106936877311700579, 109247794675008963, 109251949799762787, 464564, 109869741462984298, 109252584079250366, 109251886904079015, 109412921226507991, 106519828156952418, 109508101729902940, 109248440907909022, 1119380, 109944826587286009, 109359996976692966, 108353075470630656, 109248542803230344, 109251403544561549, 109258710919700001, 109978590135549675, 108209928128783787, 109927284486667894]"
